timestamp,Glasgow Temperature [2 m elevation corrected],Glasgow Temperature [2 m elevation corrected],Glasgow Temperature [2 m elevation corrected]
20220404T0000,12.443198,7.5131984,9.917782
20220405T0000,11.073198,7.2531986,9.301532
20220406T0000,8.233198,5.4031987,6.784449
20220407T0000,8.063198,2.9831982,5.3423653
20220408T0000,7.8331985,1.0131983,4.2402816
20220409T0000,8.403198,0.16319829,4.072782
20220410T0000,11.913198,0.2831983,6.4002824
20220411T0000,14.143199,5.0731983,9.762782
20220412T0000,11.213199,5.6531987,7.7402825
20220413T0000,14.743198,6.6131983,10.371947
20220414T0000,14.963199,6.2731986,11.108615
20220415T0000,17.253197,6.8031983,12.190282
20220416T0000,16.123198,6.7631984,11.915282
20220417T0000,18.493198,8.213199,13.366531
20220418T0000,11.493198,6.2831984,9.612365